County,Lat,Lon,Population,Area
Alameda,37.64629437,-121.8929271,1671329,738
Alpine,38.59678594,-119.82235940000001,1129,739
Amador,38.44583082,-120.65696000000001,39752,606
Butte,39.66727762,-121.6005252,219186,1640
Calaveras,38.20537103,-120.55291299999999,45905,1020
Colusa,39.17881957,-122.2331726,21547,1151
Contra Costa,37.91923498,-121.9289527,1153526,720
Del Norte,41.74228275,-123.89740630000001,27812,1008
El Dorado,38.77965956,-120.5233166,192843,1712
Fresno,36.75733899,-119.6466953,999101,5963
Glenn,39.59875897,-122.3938452,28393,1315
Humboldt,40.69923009,-123.876044,135558,3573
Imperial,33.0393082,-115.36690420000001,181215,4175
Inyo,36.51112084,-117.41119779999998,18039,10192
Kern,35.34329425,-118.72777959999999,900202,8142
Kings,36.07409056,-119.8159973,152940,1390
Lake,39.10124298,-122.75362439999999,64386,1258
Lassen,40.67311306,-120.59350990000002,30573,4558
Los Angeles,34.30828379,-118.22824109999999,10039107,4060
Madera,37.21513971,-119.76655890000002,157327,2138
Marin,38.07122463,-122.72106310000001,258826,520
Mariposa,37.57978556,-119.9073334,17203,1451
Mendocino,39.4381191,-123.39113130000001,86749,3509
Merced,37.18922369,-120.72090349999999,277680,1929
Modoc,41.58965602,-120.7244817,8841,3944
Mono,37.93899289,-118.8872409,14444,3044
Monterey,36.21862405,-121.24133970000001,434061,3322
Napa,38.50735751,-122.33283899999999,137744,754
Nevada,39.30394768,-120.76272809999999,99755,958
Orange,33.70147516,-117.76459979999998,3175692,948
Placer,39.06167234,-120.72405690000001,398329,1407
Plumas,40.00355989,-120.8395236,18807,2554
Riverside,33.74314981,-115.9933578,2470546,7208
Sacramento,38.45106826,-121.34253740000001,1552058,966
San Benito,36.60308176,-121.069975,62808,1389
San Bernardino,34.84060306,-116.1774685,2180085,20062
San Diego,33.03484597,-116.73653259999999,3338330,4204
San Francisco,37.75215114,-122.43856720000001,881549,47
San Joaquin,37.93433732,-121.2730061,762148,1399
San Luis Obispo,35.38822029,-120.4039028,283111,3304
San Mateo,37.422880799999994,-122.32755459999998,766573,449
Santa Barbara,34.65329488,-120.0188492,446499,2738
Santa Clara,37.23104908,-121.6970462,1927852,1291
Santa Cruz,37.05580291,-122.0066524,273213,446
Shasta,40.76391419,-122.0396884,180080,3786
Sierra,39.57713498,-120.52007009999998,3005,953
Siskiyou,41.59198861,-122.54074340000001,43539,6287
Solano,38.26827353,-121.9357113,447643,828
Sonoma,38.52746429,-122.88625060000001,494336,1576
Stanislaus,37.55862499,-120.9970722,550660,1495
Sutter,39.03417539,-121.6945899,96971,603
Tehama,40.12570935,-122.23701709999999,65084,2951
Trinity,40.64917670000001,-123.114713,12285,3179
Tulare,36.22026558,-118.8020203,466195,4824
Tuolumne,38.02644018,-119.95250929999999,54478,2236
Ventura,34.44465746,-119.09106129999999,846006,1846
Yolo,38.68278902,-121.90182879999999,220500,1012
Yuba,39.26255932,-121.35356440000001,78668,630
